v1,v2
ham,Được thôi... Đùa với anh thôi...
spam,Miễn phí tham gia cuộc thi 2 tuần một lần để giành chiến thắng trong trận chung kết Cúp FA vào ngày 21 tháng 5 năm 2005. Nhắn tin FA đến số 87121 để nhận câu hỏi tham gia (tỷ lệ tin nhắn chuẩn) Điều khoản và điều kiện áp dụng 08452810075trên 18 tuổi
ham,Bạn không nói sớm thế chứ... Bạn đã nói rồi cơ mà...
ham,"Không, tôi không nghĩ anh ấy học ở USF đâu, anh ấy sống quanh đây thôi."
spam,"FreeMsg Này em yêu, đã 3 tuần trôi qua rồi và vẫn chưa có tin tức gì! Anh muốn em vui vẻ một chút, em vẫn muốn chứ? Tb ok! XxX std chgs để gửi, 1,50 bảng Anh để nhận"
ham,Ngay cả anh trai tôi cũng không muốn nói chuyện với tôi. Họ đối xử với tôi như thể tôi là người mắc bệnh AIDS.
ham,Theo yêu cầu của bạn 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' đã được thiết lập làm nhạc chuông của bạn cho tất cả Người gọi. Nhấn *9 để sao chép nhạc chuông của bạn bè bạn
spam,"NGƯỜI CHIẾN THẮNG!! Là một khách hàng có giá trị của mạng lưới, bạn đã được chọn để nhận giải thưởng trị giá 900 bảng Anh! Để nhận, hãy gọi 09061701461. Nhận mã KL341. Chỉ có hiệu lực trong 12 giờ."
spam,Điện thoại di động của bạn đã được 11 tháng hoặc hơn? Bạn có quyền được Cập nhật lên điện thoại di động màu mới nhất có camera miễn phí không? Hãy gọi cho Công ty Cập nhật Điện thoại Di động MIỄN PHÍ theo số 08002986030
ham,"Anh sắp về nhà rồi và anh không muốn nói về chuyện này nữa vào tối nay, được chứ? Hôm nay anh đã khóc đủ rồi."
spam,"SÁU cơ hội trúng TIỀN MẶT! Từ 100 đến 20.000 bảng Anh txt> CSH11 và gửi đến 87575. Chi phí 150 xu/ngày, 6 ngày, 16+ TsandCs áp dụng Trả lời HL 4 thông tin"
spam,GẤP! Bạn đã trúng giải thưởng Jackpot trị giá 100.000 bảng Anh trong 1 tuần thành viên MIỄN PHÍ! Hãy nhắn tin theo cú pháp: YÊU CẦU đến số: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
ham,Tôi đã tìm kiếm những từ ngữ thích hợp để cảm ơn bạn vì sự nghỉ ngơi này. Tôi hứa sẽ không coi sự giúp đỡ của bạn là điều hiển nhiên và sẽ thực hiện lời hứa của mình. Bạn thật tuyệt vời và luôn là một phước lành.
ham,TÔI CÓ MỘT CUỘC HẸN VÀO CHỦ NHẬT VỚI WILL!!
spam,"XXXMobileMovieClub: Để sử dụng tín dụng của bạn, hãy nhấp vào liên kết WAP trong tin nhắn txt tiếp theo hoặc nhấp vào đây>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Ồ k...tôi đang xem đây:)
ham,"Ờ, bạn còn nhớ cách đánh vần tên anh ấy không... Đúng rồi, tôi nhớ mà. Anh ấy hư lắm cho đến khi tôi ướt."
ham,Được thôi nếu đó là cách bạn cảm thấy. Đó là cách nó phải xảy ra
spam,"Anh v Macedonia - đừng bỏ lỡ các bàn thắng/tin tức đội. Gửi tin nhắn đội tuyển quốc gia của bạn đến số 87077 ví dụ ANH đến số 87077 Thử: XỨ WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
ham,Có thật là bạn viết tên anh ấy theo cách đó không?
ham,Tôi sẽ thử trong 2 tháng ha ha chỉ đùa thôi
ham,Vậy thì trước tiên hãy trả tiền... Vậy thì khi nào thì cổ phiếu sẽ về...
ham,Sau khi ăn trưa xong tôi đi xuống phía dưới. Đi khoảng 3 phút về phía dưới. Bạn ăn trưa xong rồi à?
ham,"Fffffffffff. Được rồi, không cách nào tôi có thể gặp bạn sớm hơn được sao?"
ham,Chỉ ép mình ăn một miếng thôi. Thực ra tôi không đói lắm. Tệ thật. Mark đang lo lắng. Anh ấy biết tôi bị ốm khi tôi từ chối pizza. Lol
ham,"Haha, bạn lúc nào cũng thuyết phục thế."
ham,Bạn đã bắt xe buýt chưa? Bạn đang chiên trứng chưa? Bạn đã pha trà chưa? Bạn có đang ăn đồ ăn thừa của mẹ bạn không? Bạn có cảm nhận được tình yêu của tôi không?
ham,"Tôi đã trở lại và chúng tôi đang chất đồ lên xe, tôi sẽ cho bạn biết nếu còn chỗ"
ham,À. Làm việc. Tôi nhớ mang máng điều đó! Cảm giác thế nào? Lol
ham,"Đợi đã, vẫn chưa rõ lắm, bạn không chắc là tôi đang nói mỉa mai hay đó là lý do tại sao x không muốn sống cùng chúng ta sao?"
ham," Vâng, anh ấy đã vào lúc 2 giờ và đã xin lỗi. Cô ấy đã cãi nhau và cô ấy đã hành động như một đứa trẻ hư hỏng và anh ấy đã bị cuốn vào chuyện đó. Cho đến 2 giờ! Nhưng chúng ta sẽ không nói đến chuyện đó! Không tệ lắm đâu, cảm ơn. Còn bạn thì sao?"
ham,K hãy kể cho tôi biết bất cứ điều gì về bạn.
ham,Vì sợ ngất xỉu vì tất cả những việc nhà bạn vừa làm? Nhanh lên uống một tách trà nào
spam,"Cảm ơn bạn đã đăng ký Ringtone UK, điện thoại di động của bạn sẽ bị tính phí 5 bảng Anh/tháng. Vui lòng xác nhận bằng cách trả lời CÓ hoặc KHÔNG. Nếu bạn trả lời KHÔNG, bạn sẽ không bị tính phí"
ham,Yup... Ok tôi về nhà xem thời gian rồi nhắn tin lại cho bạn... Xuhui cũng sẽ học vào ngày 2 tháng 5 nhưng tiết học của cô ấy là lúc 8 giờ sáng
ham,"Ồ, tôi sẽ cho bạn biết khi bạn cùng phòng của tôi hoàn thành"
ham,Tôi thấy chữ B trên xe của tôi
ham,Bất cứ điều gì... Bạn quyết định...
ham,Xin chào! Bạn thế nào và thứ bảy thế nào? Tôi chỉ nhắn tin để xem bạn có quyết định làm gì vào ngày mai không. Không phải là tôi đang cố gắng tự mời mình hay gì cả!
ham,Xin hãy tiếp tục với watts. Tôi chỉ muốn chắc chắn. Chúc bạn có một cuối tuần tuyệt vời. Abiola
ham,"Anh quên nói với em à? Anh muốn em, anh cần em, anh thèm khát em... Nhưng trên hết... Anh yêu em, chú ngựa Ả Rập ngọt ngào của anh... Mmmmmm... Ngon quá"
spam,07732584351 - Rodger Burns - MSG = Chúng tôi đã cố gắng gọi cho bạn để trả lời tin nhắn SMS của chúng tôi về một chiếc điện thoại di động Nokia miễn phí + máy quay phim miễn phí. Vui lòng gọi ngay 08000930705 để được giao hàng vào ngày mai
ham,BẠN ĐANG THẤY AI?
ham,Tuyệt! Tôi hy vọng bạn thích người đàn ông của bạn được ban tặng nhiều. Tôi &lt;#&gt; inch...
ham,"Không có cuộc gọi, tin nhắn, cuộc gọi nhỡ"
ham,Bạn không tiêm vắc-xin phòng viêm gan B ở Nigeria sao?
ham,"Được thôi, có chuyện gì thế?"
ham,Vâng hy vọng là nếu Tyler không làm được thì tôi có thể hỏi xung quanh một chút
ham,Bạn không biết tôi bướng bỉnh thế nào đâu. Tôi thậm chí còn không muốn đến bệnh viện. Tôi cứ nói với Mark rằng tôi không phải là kẻ yếu đuối. Bệnh viện dành cho những kẻ yếu đuối.
ham,Bạn nghĩ gì về tôi. Lần đầu tiên bạn nhìn thấy tôi trong lớp.
ham,"Một gram thường có dạng &lt;#&gt; , nhưng nửa phần tám thì thông minh hơn và cho bạn gần một gram thứ hai với giá &lt;#&gt;"
ham,K fyi x có chuyến đi vào sáng sớm ngày mai nhưng anh ấy sẽ ở lại nhà chúng tôi tối nay
ham,"Wow. Tôi không bao giờ nhận ra rằng bạn lại xấu hổ đến vậy về chỗ ở của mình. Tôi nghĩ bạn thích nó, vì tôi đã làm tốt nhất có thể và bạn luôn có vẻ rất vui về ""hang động"". Tôi xin lỗi vì tôi đã không làm vậy và không có gì nhiều hơn để cho. Tôi xin lỗi vì đã đề nghị. Tôi xin lỗi vì căn phòng của bạn lại xấu hổ đến vậy."
spam,SMS. ac Sptv: New Jersey Devils và Detroit Red Wings chơi khúc côn cầu trên băng. Đúng hay sai? Kết thúc? Trả lời KẾT THÚC SPTV
ham,Bạn có biết Mallika Sherawat đã làm gì hôm qua không? Tìm hiểu ngay @ &lt;URL&gt;
spam," Xin chúc mừng! Thẻ xem phim đặc biệt 1 năm dành cho 2 người đã có. Gọi ngay 09061209465! C Suprman V, Matrix3, StarWars3, v.v. tất cả đều MIỄN PHÍ! bx420-ip4-5we. 150pm. Đừng bỏ lỡ!"
ham,"Xin lỗi, tôi sẽ gọi lại sau trong cuộc họp."
ham,Hãy cho biết bạn đã đạt đến đâu
ham,Đúng vậy...gauti và sehwag rời khỏi series odi.
ham,Bạn sẽ phải mua một chiếc burger giá 1 đô la cho mình trên đường về nhà. Tôi thậm chí không thể di chuyển. Đau đớn đang giết chết tôi.
ham,Ha ha ha đùa hay đấy. Con gái là những kẻ thích tìm kiếm tình huống.
ham,Đó là một phần của việc kiểm tra IQ
ham,"Xin lỗi vì bạn cùng phòng của tôi đã làm mất nhiều thời gian, tôi có thể ghé qua bây giờ được không?"
ham,"Được rồi, tôi đã kiểm tra lại với thợ làm tóc rồi, anh ấy bảo sẽ cắt tóc ngắn. Anh ấy nói sẽ cắt cho đến khi tôi trông đẹp."
spam,"Là một khách hàng có giá trị, tôi rất vui khi thông báo với bạn rằng sau khi xem xét lại Số điện thoại di động của bạn gần đây, bạn sẽ được tặng Giải thưởng tiền thưởng trị giá 1500 bảng Anh, hãy gọi số 09066364589"
ham,"Hôm nay là ""ngày dành tặng bài hát.."" Bạn sẽ dành tặng bài hát nào cho tôi? Gửi bài này đến tất cả những người bạn đáng quý của bạn nhưng trước tiên hãy trả lời tôi..."
spam,"Urgent UR đã trao tặng một chuyến đi miễn phí đến EuroDisinc Trav, Aco&Entry41 hoặc 1000 bảng Anh. Để yêu cầu, hãy nhắn tin DIS đến số 87121 18+6*£1,50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
spam,"Bạn đã nghe về ""Búp bê Barbie ly hôn"" mới chưa? Nó có đầy đủ đồ của Ken!"
ham,Tôi dự định sẽ tặng vào cuối tháng này.
ham,Ôi may mắn quá... Thế là có thể tiết kiệm được tiền... Hee...
ham,"Kết thúc lớp học, bạn đang ở đâu?"
ham,CHÀO BABE EM ĐANG Ở NHÀ BÂY GIỜ CÓ MUỐN LÀM GÌ ĐÓ KHÔNG? XX
ham,K..k:)bạn đang ở đâu?Bạn biểu diễn thế nào?
ham,Bạn có thể gọi cho tôi ngay bây giờ...
ham,Tôi đang đợi machan. Gọi cho tôi khi bạn rảnh nhé.
ham,Thật tuyệt. Tôi là một quý ông và sẽ đối xử với bạn một cách đàng hoàng và tôn trọng.
ham,Tôi rất thích mọi người:) nhưng tôi rất nhút nhát.
ham,Không hoạt động sau &lt;#&gt; hoặc gì đó
ham,Ở đây không giống vậy. Vẫn đang tìm việc. Thu nhập của Ta ở đó là bao nhiêu?
ham,"Xin lỗi, tôi sẽ gọi lại sau"
ham, K. Vừa rồi anh gọi điện cho em phải không?
ham,Được rồi tôi đang trên đường về nhà xin chào
ham,Bạn sẽ ở vị trí của người đàn ông đó
ham,"Vâng, điểm dừng tiếp theo."
ham,"Tôi sẽ gọi lại sau, không có mạng. Nếu cần gấp, hãy nhắn tin cho tôi."
ham,Thật sự khi bạn lên đó à? Tôi chỉ cần thêm 2 vé và một chiếc áo khoác nữa là xong. Tôi đã dùng hết tất cả các vé của mình rồi.
ham,"Vâng, tôi đã bắt đầu gửi yêu cầu để thực hiện nhưng cơn đau lại quay trở lại nên tôi lại phải nằm trên giường. Tiền xu đôi tại nhà máy nữa. Tôi phải đổi tất cả nitros của mình."
ham,Anh thực sự không thể làm được điều đó vào đêm nay em yêu
ham,"Ela kano.,tôi tải về rồi, bạn rảnh nhé.."
ham,Đúng rồi! Nhưng đừng đứng quá gần nhé - bạn sẽ bị nhiễm bệnh đấy!
ham,Xin lỗi vì đã làm phiền. Chúng ta có thể gặp nhau vào một đêm khác không? Tôi đã dành buổi chiều muộn ở khoa thương vong và điều đó có nghĩa là tôi chưa làm bất kỳ việc gì trong số những việc của y42moro và bao gồm tất cả các bảng chấm công của tôi và những thứ đó. Xin lỗi.
ham,Mỉm cười trong niềm vui Mỉm cười trong nỗi đau Mỉm cười khi rắc rối đổ xuống như mưa Mỉm cười khi có ai đó làm bạn tổn thương Mỉm cười vì VẪN CÓ AI ĐÓ thích nhìn thấy bạn mỉm cười!!
spam,Vui lòng gọi cho đại diện dịch vụ khách hàng của chúng tôi theo số 0800 169 6031 từ 10 giờ sáng đến 9 giờ tối vì bạn đã GIÀNH được giải thưởng tiền mặt trị giá 1000 bảng Anh hoặc giải thưởng trị giá 5000 bảng Anh!
ham,Không có ý định mua sau. Tôi đã kiểm tra rồi lido chỉ có 530 suất chiếu vào buổi chiều. Bạn đã xong việc rồi à?
spam,"Nhạc chuông miễn phí của bạn đang chờ được nhận. Chỉ cần nhắn tin mật khẩu ""MIX"" đến 85069 để xác minh. Nhận Usher và Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham,Đang xem phim Telugu..bạn thì sao?
ham,Tôi hiểu rồi. Khi chúng ta hoàn thành chúng ta có rất nhiều khoản nợ phải trả
ham,"Xin chào. Tuần này ổn - đang nghỉ lễ! Có thể chạy một chút. Quên mất là tôi có cuộc hẹn với thợ làm tóc lúc bốn giờ nên cần phải về nhà và tắm rửa trước. Điều đó có gây rắc rối cho bạn không?"""
ham,Tôi thấy một hình ảnh động về tách cà phê
ham,Làm ơn đừng nhắn tin cho tôi nữa. Tôi không còn gì để nói nữa.
ham,"Được rồi, hãy nêu giá của bạn miễn là hợp pháp! Tôi có thể lấy chúng không? Bạn có x ams xx"
ham,Tôi vẫn đang tìm mua xe. Và vẫn chưa đi thi lái xe.
ham,Theo yêu cầu của bạn 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' đã được thiết lập làm nhạc chuông của bạn cho tất cả Người gọi. Nhấn *9 để sao chép nhạc chuông của bạn bè bạn
ham,"wow. Bạn nói đúng! Tôi không cố ý làm thế. Tôi đoán là khi tôi từ bỏ boston men và thay đổi vị trí tìm kiếm của mình thành nyc, có gì đó đã thay đổi. Bởi vì trên trang đăng nhập của tôi vẫn ghi là boston."
ham,Umma cuộc sống của mẹ và vava umma yêu con rất nhiều
