v1,v2
ham,Cuộc họp tiếp theo của chúng ta sẽ diễn ra vào thứ ba lúc 9h sáng. Mời bạn tham gia.
ham,Anh có thể gửi giúp em file tài liệu mà anh đã nhắc trong buổi họp không?
ham,"Chào bạn, lâu rồi không gặp! Bạn có rảnh để đi cà phê vào cuối tuần không?"
ham,Nhóm dự án sẽ triển khai bản demo vào tuần sau. Anh/chị có ý kiến đóng góp gì không?
ham,Cảm ơn bạn đã đến tham gia hội thảo hôm qua. Hy vọng bạn có những thông tin hữu ích.
ham,"Hôm nay có thông báo về nghỉ lễ, công ty sẽ làm việc lại vào ngày thứ hai tuần sau."
ham,"Đây là lịch trình công tác của tháng tới, bạn xem và cho ý kiến giúp nhé."
ham,Bạn có muốn ăn trưa cùng nhóm vào thứ sáu này không?
ham,Cuộc họp trực tuyến sẽ diễn ra vào 10h sáng ngày mai. Mời bạn tham gia qua Zoom.
ham,"Xin chào, tôi có gửi kèm tài liệu hướng dẫn trong email này. Bạn xem qua giúp nhé."
spam,Chúc mừng bạn đã trúng xe máy Honda SH! Nhấp vào link bên dưới để nhận giải ngay hôm nay.
spam,"Giảm giá 70% toàn bộ sản phẩm tại cửa hàng! Cơ hội duy nhất, đừng bỏ lỡ!"
spam,Bạn có muốn làm giàu nhanh chóng không? Đăng ký ngay khóa học đầu tư của chúng tôi.
spam,Nhận ngay 200.000 VNĐ khi giới thiệu bạn bè đăng ký tài khoản. Tham gia ngay!
spam,Hãy mua sắm thỏa thích với mã giảm giá 50% cho mọi sản phẩm!
spam,Nhận thẻ cào điện thoại miễn phí khi tham gia khảo sát ngắn của chúng tôi!
spam,Bạn đã nhận được 1000 USD trong tài khoản của mình. Nhấp vào đây để kiểm tra!
spam,Nạp tiền điện thoại chiết khấu lên đến 40% chỉ trong hôm nay!
spam,"Gói bảo hiểm nhân thọ ưu đãi, nhận hoàn tiền lên đến 50%. Nhấn để biết thêm chi tiết."
spam,Chúng tôi sẽ khóa tài khoản ngân hàng của bạn nếu không cập nhật thông tin trong vòng 24 giờ.
spam,Tăng thu nhập nhanh chóng với dịch vụ đầu tư của chúng tôi. Nhấn vào đây để đăng ký ngay.
